case,scenario,rate,outcome,n,v1_median,v2_median,v1_cv_pct,v2_cv_pct,pct_change,ci95,note
C5,S2,3000,read_iops,3,809.9875610667356,814.6827258391526,0.6273570279098982,0.6848861792253529,,,
C5,S2,3000,write_iops,3,2842.886159687661,11929.486518476744,2.679420116852035,4.727248483656996,,,
C5,S2,3000,bp_hit,3,0.9889337291058595,0.9886795723379068,0.011334944895906328,0.0077153448882110506,,,
C5,S2,3000,service_p99_us,3,52863,22815,13.741504378514126,6.535550876454634,-54.71071192765571,"[-61.86404994233199, -43.56048876926375]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S2,3000,burst_recovery_s,0,,,,,,,insufficient pairs for effect/CI
C5,S2,3000,drop_rate,3,0,0,,,,,insufficient pairs for effect/CI
C5,S3,2000,success_tps,3,2614.1406650712424,2693.601989288791,0.43937444338908266,0.20686874089478746,3.210456212852275,"[2.8018112501547954, 3.948428694633921]",v2 higher (better); n=3<5 (below protocol baseline)
C5,S3,2000,p50_us,3,17295,12543,2.348789565087289,0.8372434945576324,-27.04455735268607,"[-28.973196349652763, -24.617599424149716]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S3,2000,p95_us,3,4284415,3919871,1.1347834067136482,0.4072081159659819,-8.779103986902449,"[-10.187795762680585, -7.887191133445293]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S3,2000,p99_us,3,4390911,4032511,1.1238929344963091,0.2328545138181286,-8.574838473142366,"[-9.954130669915306, -7.731960532039062]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S3,2000,p999_us,3,4481023,4126719,1.2634466255447587,1.188070731169634,-7.955709365164854,"[-10.152742568460837, -5.755065750502164]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S3,2000,error_rate,3,0,0,,,,,insufficient pairs for effect/CI
C5,S3,2000,read_iops,3,1641.059327885958,1707.0852150013934,0.36189881771504023,0.7207338280093952,,,
C5,S3,2000,write_iops,3,1591.2689848877546,2461.3004599471838,0.6076039263508956,1.9382694147793824,,,
C5,S3,2000,bp_hit,3,0.97453561943645,0.9742212006876534,0.02055530539035945,0.01624963815365216,,,
C5,S3,2000,service_p99_us,3,179071,113215,0.9035930448635835,0.4594546599306708,-36.74964412282474,"[-37.491373075160524, -36.31185395736887]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S3,2000,burst_recovery_s,3,8,7,7.530655685082075,8.660254037844386,-13.09933387783876,"[-25.0, 0.0]",CI includes 0; n=3<5 (below protocol baseline)
C5,S3,2000,drop_rate,3,0.06637785765858752,0.03799702380952381,6.056337070265236,5.280931563572671,-44.27503822150194,"[-50.776567418463436, -40.58622063116416]",v2 lower (better); n=3<5 (below protocol baseline)
C7,S1,5000,success_tps,3,4999.990147911326,4999.983409430278,0.00022301458778891637,0.000987875801943305,6.142514152873702e-05,"[-0.0010393659599094995, 0.0013584259331844706]",CI includes 0; n=3<5 (below protocol baseline)
C7,S1,5000,p50_us,3,3615,2399,0.897836973640659,0.6358506583815512,-33.66685393170638,"[-34.67322942302433, -33.08437067773168]",v2 lower (better); n=3<5 (below protocol baseline)
C7,S1,5000,p95_us,3,19919,23375,0.7728825674427106,1.576630935316211,17.661056944125654,"[16.87027931261722, 18.770905097099487]",v2 higher (worse); n=3<5 (below protocol baseline)
C7,S1,5000,p99_us,3,24783,32623,3.0262965780576065,0.7140856729733029,30.04464599901244,"[26.602009005888473, 32.748728382502534]",v2 higher (worse); n=3<5 (below protocol baseline)
C7,S1,5000,p999_us,3,56575,43679,23.313162865840603,2.0337511736528846,-29.89112352970954,"[-46.0479996047382, -19.739547635366694]",v2 lower (better); n=3<5 (below protocol baseline)
C7,S1,5000,error_rate,3,0,0,,,,,insufficient pairs for effect/CI
C7,S1,5000,read_iops,3,1638.212768487059,1647.1035141390103,0.27666624241131305,0.21180003984291673,,,
C7,S1,5000,write_iops,3,2270.772047806046,3201.118525165819,0.5284021872158415,0.08505740323993959,,,
C7,S1,5000,bp_hit,3,0.9780779121681196,0.977805085995598,0.01192189953630531,0.008129598071152164,,,
C7,S1,5000,service_p99_us,3,24591,32479,2.4358014638393364,0.71522826509107,30.888094689461077,"[28.276970100709264, 33.203461428044136]",v2 higher (worse); n=3<5 (below protocol baseline)
C7,S1,5000,burst_recovery_s,0,,,,,,,insufficient pairs for effect/CI
C7,S1,5000,drop_rate,3,0,0,,,,,insufficient pairs for effect/CI
